report_date,year,iso_week,composite_benchmark_usd_mt,indonesia_fob_usd_mt,indonesia_domestic_idr_kg,sri_lanka_fob_usd_mt,sri_lanka_domestic_lkr_mt,india_fob_usd_mt,india_domestic_inr_mt,spread_sri_lanka_vs_indonesia_usd,spread_india_vs_indonesia_usd,usd_idr_fx_rate,usd_lkr_fx_rate,usd_inr_fx_rate,bulletin_ref_id,extraction_method,data_quality_status
2022-04-08,2022,14,936.4,924.3,11846.0,1058.1,193814.0,826.8,56525.0,133.8,-97.5,14548.0,200.2,75.69,ICC-WPB-2022-W14,DIGITAL_PDFPLUMBER,APPROVED
2022-04-15,2022,15,931.5,919.5,11852.0,1054.8,201257.0,820.3,55611.0,135.3,-99.2,14641.0,208.6,75.12,ICC-WPB-2022-W15,OCR_VERIFIED,APPROVED
2022-04-22,2022,16,936.9,923.9,11955.0,1062.2,197065.0,824.7,55771.0,138.3,-99.2,14688.0,202.7,74.89,ICC-WPB-2022-W16,DIGITAL_PDFPLUMBER,APPROVED
2022-04-29,2022,17,929.5,914.2,11721.0,1054.8,195758.0,819.5,56047.0,140.6,-94.7,14575.0,202.9,75.79,ICC-WPB-2022-W17,DIGITAL_PDFPLUMBER,APPROVED
2022-05-06,2022,18,923.8,908.7,11643.0,1047.2,196322.0,815.6,55361.0,138.5,-93.1,14577.0,205.1,75.26,ICC-WPB-2022-W18,DIGITAL_PDFPLUMBER,APPROVED
2022-05-13,2022,19,927.1,912.9,11778.0,1050.0,194208.0,818.3,55801.0,137.1,-94.6,14669.0,202.3,75.58,ICC-WPB-2022-W19,DIGITAL_PDFPLUMBER,APPROVED
2022-05-20,2022,20,936.4,920.6,11901.0,1060.2,195204.0,828.4,56414.0,139.6,-92.2,14682.0,201.2,75.38,ICC-WPB-2022-W20,OCR_VERIFIED,APPROVED
2022-05-27,2022,21,940.3,924.3,11884.0,1066.1,198929.0,830.4,56475.0,141.8,-93.9,14594.0,203.8,75.26,ICC-WPB-2022-W21,DIGITAL_PDFPLUMBER,APPROVED
2022-06-03,2022,22,940.0,925.9,11916.0,1067.8,202111.0,826.3,56629.0,141.9,-99.6,14605.0,206.7,75.88,ICC-WPB-2022-W22,DIGITAL_PDFPLUMBER,APPROVED
2022-06-10,2022,23,939.2,926.0,11927.0,1068.4,204779.0,823.3,56469.0,142.4,-102.7,14617.0,209.3,75.97,ICC-WPB-2022-W23,OCR_VERIFIED,APPROVED
2022-06-17,2022,24,931.0,918.2,11780.0,1064.5,208933.0,810.3,55262.0,146.3,-107.9,14576.0,214.4,75.67,ICC-WPB-2022-W24,OCR_VERIFIED,APPROVED
2022-06-24,2022,25,926.6,914.9,11753.0,1059.5,207958.0,805.5,54565.0,144.6,-109.4,14602.0,214.5,75.21,ICC-WPB-2022-W25,OCR_VERIFIED,APPROVED
2022-07-01,2022,26,924.9,912.7,11723.0,1059.1,212621.0,802.8,54759.0,146.4,-109.9,14604.0,219.4,75.76,ICC-WPB-2022-W26,DIGITAL_PDFPLUMBER,APPROVED
2022-07-08,2022,27,933.3,920.1,11845.0,1065.8,213700.0,813.9,55798.0,145.7,-106.2,14622.0,219.0,76.03,ICC-WPB-2022-W27,DIGITAL_PDFPLUMBER,APPROVED
2022-07-15,2022,28,935.4,922.4,11911.0,1067.4,216983.0,816.4,55672.0,145.0,-106.0,14661.0,222.0,75.6,ICC-WPB-2022-W28,OCR_REPAIRED,AUTO_REPAIRED
2022-07-22,2022,29,924.2,910.4,11750.0,1058.6,210380.0,803.5,55022.0,148.2,-106.9,14680.0,217.2,76.05,ICC-WPB-2022-W29,OCR_VERIFIED,APPROVED
2022-07-29,2022,30,926.7,911.6,11820.0,1062.2,223412.0,806.3,55228.0,150.6,-105.3,14745.0,229.8,76.04,ICC-WPB-2022-W30,DIGITAL_PDFPLUMBER,APPROVED
2022-08-05,2022,31,921.4,907.5,11673.0,1060.3,223460.0,796.3,54596.0,152.8,-111.2,14637.0,230.3,76.22,ICC-WPB-2022-W31,DIGITAL_PDFPLUMBER,APPROVED
2022-08-12,2022,32,916.2,901.1,11655.0,1057.6,227386.0,790.0,54059.0,156.5,-111.1,14733.0,235.0,76.14,ICC-WPB-2022-W32,DIGITAL_PDFPLUMBER,APPROVED
2022-08-19,2022,33,918.1,902.5,11639.0,1058.7,216795.0,793.0,54124.0,156.2,-109.5,14686.0,223.8,75.91,ICC-WPB-2022-W33,OCR_VERIFIED,APPROVED
2022-08-26,2022,34,921.0,906.2,11703.0,1064.1,237388.0,792.6,54507.0,157.9,-113.6,14699.0,243.7,76.49,ICC-WPB-2022-W34,DIGITAL_PDFPLUMBER,APPROVED
2022-09-02,2022,35,924.0,908.8,11774.0,1065.5,232559.0,797.7,54674.0,156.7,-111.1,14739.0,238.4,76.18,ICC-WPB-2022-W35,DIGITAL_PDFPLUMBER,APPROVED
2022-09-09,2022,36,914.9,899.3,11574.0,1056.5,236986.0,788.9,54054.0,157.2,-110.4,14664.0,245.2,76.25,ICC-WPB-2022-W36,DIGITAL_PDFPLUMBER,APPROVED
2022-09-16,2022,37,907.9,893.0,11540.0,1049.4,230352.0,781.2,53333.0,156.4,-111.8,14738.0,240.1,76.06,ICC-WPB-2022-W37,DIGITAL_PDFPLUMBER,APPROVED
2022-09-23,2022,38,905.7,890.4,11499.0,1046.6,237619.0,780.0,53354.0,156.2,-110.4,14735.0,248.4,76.22,ICC-WPB-2022-W38,OCR_VERIFIED,APPROVED
2022-09-30,2022,39,909.2,891.7,11535.0,1049.1,234979.0,786.8,53823.0,157.4,-104.9,14756.0,245.0,76.15,ICC-WPB-2022-W39,DIGITAL_PDFPLUMBER,APPROVED
2022-10-07,2022,40,900.0,883.4,11411.0,1037.8,235907.0,778.8,53360.0,154.4,-104.6,14754.0,248.9,76.36,ICC-WPB-2022-W40,OCR_VERIFIED,APPROVED
2022-10-14,2022,41,895.3,876.6,11390.0,1036.7,246426.0,772.5,53232.0,160.1,-104.1,14858.0,260.3,76.87,ICC-WPB-2022-W41,OCR_REPAIRED,AUTO_REPAIRED
2022-10-21,2022,42,880.8,863.8,11100.0,1020.2,237573.0,758.5,51661.0,156.4,-105.3,14725.0,255.4,76.14,ICC-WPB-2022-W42,DIGITAL_PDFPLUMBER,APPROVED
2022-10-28,2022,43,865.2,850.3,10909.0,1002.4,236494.0,742.8,50446.0,152.1,-107.5,14736.0,259.2,76.11,ICC-WPB-2022-W43,DIGITAL_PDFPLUMBER,APPROVED
2022-11-04,2022,44,866.3,849.9,10905.0,1004.7,241481.0,744.4,51106.0,154.8,-105.5,14739.0,264.0,76.92,ICC-WPB-2022-W44,DIGITAL_PDFPLUMBER,APPROVED
2022-11-11,2022,45,869.4,853.1,10959.0,1009.6,243786.0,745.5,50937.0,156.5,-107.6,14748.0,265.1,76.54,ICC-WPB-2022-W45,OCR_VERIFIED,APPROVED
2022-11-18,2022,46,863.8,847.1,10873.0,1004.7,243676.0,739.7,50441.0,157.6,-107.4,14751.0,266.4,76.46,ICC-WPB-2022-W46,DIGITAL_PDFPLUMBER,APPROVED
2022-11-25,2022,47,865.0,848.3,10956.0,1006.9,247196.0,739.9,50760.0,158.6,-108.4,14840.0,269.6,76.92,ICC-WPB-2022-W47,DIGITAL_PDFPLUMBER,APPROVED
2022-12-02,2022,48,862.6,845.7,10930.0,1003.4,255021.0,738.6,50416.0,157.7,-107.1,14857.0,279.2,76.55,ICC-WPB-2022-W48,OCR_VERIFIED,APPROVED
2022-12-09,2022,49,852.8,836.8,10738.0,991.0,245973.0,730.7,50228.0,154.2,-106.1,14774.0,273.0,77.19,ICC-WPB-2022-W49,DIGITAL_PDFPLUMBER,APPROVED
2022-12-16,2022,50,851.6,834.9,10705.0,988.5,248345.0,731.5,50126.0,153.6,-103.4,14768.0,276.4,76.94,ICC-WPB-2022-W50,OCR_VERIFIED,APPROVED
2022-12-23,2022,51,856.4,841.0,10844.0,991.6,254071.0,736.7,50362.0,150.6,-104.3,14834.0,281.8,76.69,ICC-WPB-2022-W51,DIGITAL_PDFPLUMBER,APPROVED
2022-12-30,2022,52,853.4,837.5,10763.0,990.0,255960.0,732.7,50512.0,152.5,-104.8,14794.0,284.4,77.39,ICC-WPB-2022-W52,DIGITAL_PDFPLUMBER,APPROVED
2023-01-06,2023,1,859.7,845.0,10918.0,996.1,260232.0,738.0,50488.0,151.1,-107.0,14854.0,287.2,76.73,ICC-WPB-2023-W01,DIGITAL_PDFPLUMBER,APPROVED
2023-01-13,2023,2,839.2,825.9,10625.0,973.6,254212.0,718.2,49212.0,147.7,-107.7,14841.0,287.7,77.11,ICC-WPB-2023-W02,OCR_VERIFIED,APPROVED
2023-01-20,2023,3,842.8,829.7,10630.0,975.4,251365.0,723.2,49546.0,145.7,-106.5,14770.0,283.9,77.03,ICC-WPB-2023-W03,DIGITAL_PDFPLUMBER,APPROVED
2023-01-27,2023,4,843.4,829.5,10731.0,975.4,262167.0,725.4,49902.0,145.9,-104.1,14915.0,296.1,77.32,ICC-WPB-2023-W04,OCR_VERIFIED,APPROVED
2023-02-03,2023,5,839.8,827.5,10714.0,970.6,254317.0,721.4,49657.0,143.1,-106.1,14932.0,288.8,77.42,ICC-WPB-2023-W05,OCR_VERIFIED,APPROVED
2023-02-10,2023,6,840.9,828.8,10660.0,968.4,260270.0,725.4,49747.0,139.6,-103.4,14830.0,296.3,77.08,ICC-WPB-2023-W06,DIGITAL_PDFPLUMBER,APPROVED
2023-02-17,2023,7,830.4,817.2,10500.0,956.5,255704.0,717.6,49044.0,139.3,-99.6,14847.0,295.1,76.92,ICC-WPB-2023-W07,OCR_REPAIRED,AUTO_REPAIRED
2023-02-24,2023,8,831.4,817.8,10535.0,956.7,259923.0,719.8,49431.0,138.9,-98.0,14884.0,299.9,77.26,ICC-WPB-2023-W08,DIGITAL_PDFPLUMBER,APPROVED
2023-03-03,2023,9,837.4,822.9,10617.0,959.2,264063.0,730.1,50064.0,136.3,-92.8,14893.0,303.8,77.01,ICC-WPB-2023-W09,DIGITAL_PDFPLUMBER,APPROVED
2023-03-10,2023,10,849.3,836.1,10829.0,969.8,269395.0,741.9,51443.0,133.7,-94.2,14914.0,306.2,77.72,ICC-WPB-2023-W10,DIGITAL_PDFPLUMBER,APPROVED
2023-03-17,2023,11,849.1,836.9,10890.0,970.2,271982.0,740.2,51027.0,133.3,-96.7,14981.0,309.0,77.29,ICC-WPB-2023-W11,OCR_VERIFIED,APPROVED
2023-03-24,2023,12,845.5,836.4,10815.0,964.3,275929.0,735.8,50628.0,127.9,-100.6,14889.0,315.6,77.2,ICC-WPB-2023-W12,DIGITAL_PDFPLUMBER,APPROVED
2023-03-31,2023,13,847.3,838.5,10831.0,961.0,273494.0,742.3,51242.0,122.5,-96.2,14868.0,314.0,77.37,ICC-WPB-2023-W13,DIGITAL_PDFPLUMBER,APPROVED
2023-04-07,2023,14,858.8,850.4,10993.0,969.6,276194.0,756.4,52103.0,119.2,-94.0,14848.0,314.0,77.03,ICC-WPB-2023-W14,DIGITAL_PDFPLUMBER,APPROVED
2023-04-14,2023,15,867.0,859.0,11148.0,976.4,284268.0,765.6,52901.0,117.4,-93.4,14884.0,320.7,77.16,ICC-WPB-2023-W15,DIGITAL_PDFPLUMBER,APPROVED
2023-04-21,2023,16,870.9,862.5,11229.0,979.7,288174.0,770.4,53672.0,117.2,-92.1,14922.0,323.9,77.74,ICC-WPB-2023-W16,DIGITAL_PDFPLUMBER,APPROVED
2023-04-28,2023,17,881.9,873.1,11454.0,993.6,287254.0,779.0,54040.0,120.5,-94.1,15010.0,317.9,77.31,ICC-WPB-2023-W17,OCR_VERIFIED,APPROVED
2023-05-05,2023,18,892.7,881.2,11501.0,1003.1,298401.0,793.9,55149.0,121.9,-87.3,14913.0,326.8,77.25,ICC-WPB-2023-W18,OCR_VERIFIED,APPROVED
2023-05-12,2023,19,906.7,895.4,11744.0,1015.7,305111.0,809.1,56636.0,120.3,-86.3,14953.0,329.6,77.68,ICC-WPB-2023-W19,DIGITAL_PDFPLUMBER,APPROVED
2023-05-19,2023,20,910.1,898.8,11791.0,1017.9,304908.0,813.5,57125.0,119.1,-85.3,14948.0,328.6,77.88,ICC-WPB-2023-W20,OCR_REPAIRED,AUTO_REPAIRED
2023-05-26,2023,21,915.5,904.8,11929.0,1019.8,313250.0,822.0,57728.0,115.0,-82.8,15009.0,336.9,77.8,ICC-WPB-2023-W21,DIGITAL_PDFPLUMBER,APPROVED
2023-06-02,2023,22,921.5,910.5,12068.0,1024.3,312056.0,829.7,58409.0,113.8,-80.8,15076.0,334.0,77.91,ICC-WPB-2023-W22,OCR_REPAIRED,AUTO_REPAIRED
2023-06-09,2023,23,919.8,909.0,11941.0,1020.8,314052.0,829.5,58094.0,111.8,-79.5,14945.0,337.4,77.51,ICC-WPB-2023-W23,DIGITAL_PDFPLUMBER,APPROVED
2023-06-16,2023,24,929.4,919.0,12097.0,1030.7,318709.0,838.4,58685.0,111.7,-80.6,14953.0,338.8,77.38,ICC-WPB-2023-W24,DIGITAL_PDFPLUMBER,APPROVED
2023-06-23,2023,25,938.3,928.5,12301.0,1036.6,323643.0,849.8,60152.0,108.1,-78.7,15029.0,341.9,78.14,ICC-WPB-2023-W25,DIGITAL_PDFPLUMBER,APPROVED
2023-06-30,2023,26,948.0,936.2,12409.0,1044.9,325143.0,863.0,60855.0,108.7,-73.2,15019.0,340.5,77.72,ICC-WPB-2023-W26,OCR_VERIFIED,APPROVED
2023-07-07,2023,27,956.5,942.1,12546.0,1054.4,329535.0,873.0,61680.0,112.3,-69.1,15078.0,341.7,77.78,ICC-WPB-2023-W27,DIGITAL_PDFPLUMBER,APPROVED
2023-07-14,2023,28,955.3,939.8,12470.0,1050.7,340856.0,875.4,62208.0,110.9,-64.4,15028.0,354.8,78.21,ICC-WPB-2023-W28,DIGITAL_PDFPLUMBER,APPROVED
2023-07-21,2023,29,959.1,943.7,12499.0,1054.8,336426.0,878.8,62346.0,111.1,-64.9,14992.0,348.7,78.05,ICC-WPB-2023-W29,DIGITAL_PDFPLUMBER,APPROVED
2023-07-28,2023,30,962.9,947.7,12600.0,1059.9,340047.0,881.0,62534.0,112.2,-66.7,15041.0,350.6,78.07,ICC-WPB-2023-W30,DIGITAL_PDFPLUMBER,APPROVED
2023-08-04,2023,31,962.9,948.3,12634.0,1058.4,337972.0,882.1,62989.0,110.1,-66.2,15071.0,349.0,78.53,ICC-WPB-2023-W31,DIGITAL_PDFPLUMBER,APPROVED
2023-08-11,2023,32,967.3,952.5,12691.0,1062.3,346917.0,887.2,62849.0,109.8,-65.3,15064.0,356.8,77.86,ICC-WPB-2023-W32,DIGITAL_PDFPLUMBER,APPROVED
2023-08-18,2023,33,975.6,959.9,12797.0,1068.8,347572.0,898.1,64049.0,108.9,-61.8,15057.0,355.1,78.29,ICC-WPB-2023-W33,OCR_VERIFIED,APPROVED
2023-08-25,2023,34,990.7,976.4,13072.0,1084.7,363165.0,911.0,64909.0,108.3,-65.4,15088.0,365.1,78.11,ICC-WPB-2023-W34,DIGITAL_PDFPLUMBER,APPROVED
2023-09-01,2023,35,996.1,981.3,13157.0,1086.6,361267.0,920.5,65727.0,105.3,-60.8,15100.0,362.5,78.2,ICC-WPB-2023-W35,OCR_VERIFIED,APPROVED
2023-09-08,2023,36,1001.0,986.3,13246.0,1090.8,356485.0,925.8,66438.0,104.5,-60.5,15116.0,356.2,78.55,ICC-WPB-2023-W36,DIGITAL_PDFPLUMBER,APPROVED
2023-09-15,2023,37,1003.1,988.4,13254.0,1093.6,367418.0,927.4,66385.0,105.2,-61.0,15089.0,366.1,78.34,ICC-WPB-2023-W37,OCR_VERIFIED,APPROVED
2023-09-22,2023,38,993.5,978.2,13074.0,1087.0,360216.0,915.4,65479.0,108.8,-62.8,15059.0,361.3,78.38,ICC-WPB-2023-W38,OCR_VERIFIED,APPROVED
2023-09-29,2023,39,994.7,979.8,13117.0,1090.7,356549.0,913.5,65471.0,110.9,-66.3,15080.0,356.3,78.55,ICC-WPB-2023-W39,DIGITAL_PDFPLUMBER,APPROVED
2023-10-06,2023,40,999.3,981.6,13191.0,1098.4,351226.0,918.0,65557.0,116.8,-63.6,15134.0,348.3,78.23,ICC-WPB-2023-W40,DIGITAL_PDFPLUMBER,APPROVED
2023-10-13,2023,41,1015.5,998.5,13371.0,1112.3,372833.0,935.6,66865.0,113.8,-62.9,15049.0,364.7,78.15,ICC-WPB-2023-W41,DIGITAL_PDFPLUMBER,APPROVED
2023-10-20,2023,42,1014.6,997.8,13414.0,1113.6,359795.0,932.3,66590.0,115.8,-65.5,15109.0,351.5,78.13,ICC-WPB-2023-W42,DIGITAL_PDFPLUMBER,APPROVED
2023-10-27,2023,43,1015.9,1000.0,13422.0,1115.8,359235.0,931.8,66389.0,115.8,-68.2,15081.0,350.2,77.94,ICC-WPB-2023-W43,OCR_VERIFIED,APPROVED
2023-11-03,2023,44,1017.5,999.7,13441.0,1121.5,370412.0,931.2,67228.0,121.8,-68.5,15107.0,359.1,78.98,ICC-WPB-2023-W44,DIGITAL_PDFPLUMBER,APPROVED
2023-11-10,2023,45,1010.3,991.9,13378.0,1110.8,371265.0,928.1,66347.0,118.9,-63.8,15170.0,363.7,78.23,ICC-WPB-2023-W45,DIGITAL_PDFPLUMBER,APPROVED
2023-11-17,2023,46,1016.2,998.9,13446.0,1114.8,368518.0,934.8,67085.0,115.9,-64.1,15127.0,359.6,78.48,ICC-WPB-2023-W46,DIGITAL_PDFPLUMBER,APPROVED
2023-11-24,2023,47,1018.6,1003.1,13510.0,1116.8,365952.0,935.8,67189.0,113.7,-67.3,15127.0,356.4,78.51,ICC-WPB-2023-W47,OCR_VERIFIED,APPROVED
2023-12-01,2023,48,1020.7,1007.6,13527.0,1114.6,364860.0,940.0,67673.0,107.0,-67.6,15070.0,356.1,78.69,ICC-WPB-2023-W48,DIGITAL_PDFPLUMBER,APPROVED
2023-12-08,2023,49,1013.5,1001.1,13520.0,1106.1,362341.0,933.3,67283.0,105.0,-67.8,15172.0,356.6,78.85,ICC-WPB-2023-W49,DIGITAL_PDFPLUMBER,APPROVED
2023-12-15,2023,50,1019.0,1009.6,13651.0,1112.2,363801.0,935.3,67483.0,102.6,-74.3,15174.0,355.9,78.9,ICC-WPB-2023-W50,DIGITAL_PDFPLUMBER,APPROVED
2023-12-22,2023,51,1009.5,999.9,13569.0,1102.6,358359.0,925.9,66471.0,102.7,-74.0,15248.0,353.9,78.58,ICC-WPB-2023-W51,OCR_VERIFIED,APPROVED
2023-12-29,2023,52,1012.9,1003.2,13527.0,1106.8,358829.0,928.8,66818.0,103.6,-74.4,15144.0,352.9,78.72,ICC-WPB-2023-W52,DIGITAL_PDFPLUMBER,APPROVED
2024-01-05,2024,1,1029.4,1017.2,13766.0,1126.2,364639.0,944.9,68215.0,109.0,-72.3,15174.0,351.9,78.87,ICC-WPB-2024-W01,DIGITAL_PDFPLUMBER,APPROVED
2024-01-12,2024,2,1025.5,1010.7,13674.0,1122.5,360446.0,943.2,67994.0,111.8,-67.5,15182.0,349.1,78.77,ICC-WPB-2024-W02,DIGITAL_PDFPLUMBER,APPROVED
2024-01-19,2024,3,1022.3,1007.2,13681.0,1117.2,359931.0,942.6,68378.0,110.0,-64.6,15248.0,350.4,79.27,ICC-WPB-2024-W03,DIGITAL_PDFPLUMBER,APPROVED
2024-01-26,2024,4,1022.3,1008.2,13634.0,1115.5,353798.0,943.2,68219.0,107.3,-65.0,15179.0,345.0,79.03,ICC-WPB-2024-W04,DIGITAL_PDFPLUMBER,APPROVED
2024-02-02,2024,5,1019.2,1005.5,13614.0,1114.3,358710.0,937.8,67878.0,108.8,-67.7,15203.0,350.2,79.13,ICC-WPB-2024-W05,OCR_VERIFIED,APPROVED
2024-02-09,2024,6,1011.0,996.4,13495.0,1101.3,350618.0,935.2,67689.0,104.9,-61.2,15224.0,346.7,79.15,ICC-WPB-2024-W06,DIGITAL_PDFPLUMBER,APPROVED
2024-02-16,2024,7,1014.6,998.1,13510.0,1108.7,352368.0,937.1,67977.0,110.6,-61.0,15212.0,345.9,79.31,ICC-WPB-2024-W07,DIGITAL_PDFPLUMBER,APPROVED
2024-02-23,2024,8,1010.5,992.7,13408.0,1106.9,356017.0,931.8,67377.0,114.2,-60.9,15190.0,350.1,79.1,ICC-WPB-2024-W08,DIGITAL_PDFPLUMBER,APPROVED
